NAME,state,FIPS_tract_id,lead_score,lead_rank,oil_score,oil_rank,chem_score,chem_rank,hazw_score,hazw_rank,cln_score,cln_rank,wat_score,wat_rank,traf_score,traf_rank,ozn_score,ozn_rank,pm25_score,pm25_rank,county,dsl_score,dsl_rank,txcs_score,txcs_rank,hbrd_score,hbrd_rank,nohs_score,nohs_rank,total_pop,liso_score,liso_rank,unem_score,unem_rank,poc_score,poc_rank,pov_score,pov_rank,asth_score,asth_rank,hd_score,hd_rank,lbw_score,lbw_rank,missing_values,enef_score,enef_rank,expo_score,expo_rank,sef_score,sef_rank,spop_score,spop_rank,pltn_score,pltn_rank,pop_score,pop_rank,fin_score,fin_rank
"Census Tract 9646, Delta County, Colorado",08,08029964600,0.2342071674030437,78.81493506493507,19.55,57.8125,0.02941450458095938,4.326241134751773,0.01177764139386908,6.397163120567376,0.021875430973159884,32.60992907801418,1.877270030904679e-06,3.812636165577342,0.0,0.0,48.6641954248,6.325060048038431,4.48901560109,8.486789431545235, Delta County,0.026819495,10.413476263399694,0.151880827645952,9.716908951798011,0.12292358803986711,48.854961832061065,4.400000000000006,39.18806959403479,3527.0,1.4,24.05286343612335,7.5,85.72664359861591,10.700000000000003,10.460420032310177,35.3735632183908,71.56783103168156,8.9,53.104838709677416,4.5,92.29838709677419,11.03,94.25190194420964,0,30.628900760640956,21.634615384615387,6.988446938956274,2.722177742193755,46.641798254137804,48.62903225806451,79.88504258355375,94.6774193548387,14.868598212851168,3.2025620496397114,63.26342041884578,80.0,11.842865453874333,11.85483870967742
"Census Tract 9647, Delta County, Colorado",08,08029964700,0.11962125197264598,61.60714285714286,32.35,65.4296875,0.07492081378182511,12.539007092198581,0.017402676712558265,10.78014184397163,0.012780583426476179,8.312056737588652,0.00017664603278608258,19.88795518207283,0.1681838374519336,0.9496402877697843,49.5912248366,11.20896717373899,4.9474284153,14.491593274619696, Delta County,0.021451869,7.8866768759571215,0.17039394633118,14.307574598316755,0.16716417910447762,73.53689567430025,10.200000000000003,69.71830985915493,3815.0,2.2,36.91629955947137,,,16.599999999999994,27.665589660743134,36.55484558040469,72.46141348497157,8.9,53.104838709677416,4.4,91.41129032258064,8.16,68.85038038884193,2,29.75933186882909,19.71153846153846,9.768890442080469,5.124099279423539,56.059701647728254,62.66129032258064,71.12216980703333,87.58064516129032,16.432370917663345,4.483586869495596,63.590935727380796,80.80645161290323,13.156172086145753,14.596774193548386
"Census Tract 9649, Delta County, Colorado",08,08029964900,0.08095380667236955,52.27272727272727,20.0,58.49609375,0.7620799704367833,72.59574468085106,0.016342561844102824,10.127659574468085,0.013412660546489538,9.134751773049645,0.00028208117208795706,22.03548085901027,42.50968170336669,11.251798561151078,49.0914738562,8.8871096877502,5.0344636612,16.33306645316253, Delta County,0.061586285,21.822358346094948,0.217875638031784,26.472838561591434,0.19069767441860466,83.79983036471586,6.900000000000006,54.22535211267606,5683.0,2.9,47.180616740088105,8.8,90.65743944636678,25.0,51.009693053311786,48.536974640893774,87.4898456539399,9.1,68.26612903225806,4.7,93.50806451612902,6.84,47.8021978021978,0,37.44374298501773,37.580128205128204,16.953434321950038,13.690952762209768,69.06046289518308,78.79032258064517,69.85879711686162,85.72580645161291,23.783537209639267,14.331465172137712,69.45963000602235,88.30645161290323,20.799026666010132,33.306451612903224
"Census Tract 9648, Delta County, Colorado",08,08029964800,0.14778335724533714,66.6396103896104,32.0,65.13671875,0.5041865951579039,61.75886524822695,0.01778916384268575,11.063829787234042,0.014153919707857074,10.581560283687944,0.03578098375856256,68.25396825396825,34.03365343335316,9.66906474820144,49.4959875817,10.728582866293035,5.21404617486,19.45556445156125, Delta County,0.050748453,19.98468606431853,0.221996686940468,27.23794950267789,0.14960629921259844,66.41221374045801,17.900000000000006,86.66114333057166,4000.0,11.1,83.34801762114537,6.5,77.46539792387543,31.0,62.52019386106623,46.019417475728154,84.97156783103168,8.5,31.85483870967742,4.2,88.99193548387096,7.83,64.7083685545224,0,47.23909211878794,61.21794871794872,17.41516952661043,14.011208967173738,76.8964223846914,86.04838709677419,61.851714249356924,73.14516129032258,27.356477057336264,18.494795836669336,69.37406831702417,88.06451612903226,23.894141585066855,41.854838709677416
"Census Tract 9650, Delta County, Colorado",08,08029965000,0.16383932176019378,68.66883116883116,34.0,66.6015625,0.0354589742030299,5.319148936170213,0.013024835466535444,7.503546099290779,0.01721919864897683,26.73758865248227,7.5924201611792255e-06,6.924992219109866,0.0,0.0,48.7750705882,7.125700560448359,4.68310054645,11.128903122497999, Delta County,0.017949119,5.819295558958652,0.157591318375156,10.711553175210407,0.1382198952879581,58.778625954198475,5.299999999999997,45.774647887323944,4707.0,1.8,30.484581497797357,4.1,47.015570934256054,13.0,16.235864297253634,27.979604843849586,56.295694557270515,8.9,53.104838709677416,3.5,76.04838709677419,5.7,26.542688081149617,0,30.292611595980716,21.314102564102562,6.957090483423083,2.5620496397117694,42.43083085468333,40.725806451612904,51.89863796253374,56.20967741935484,14.735597520942294,3.122497998398719,47.16473440860854,45.08064516129032,8.750225488479773,5.806451612903226
"Census Tract 2.01, Denver County, Colorado",08,08031000201,0.3403755868544601,90.01623376623377,0.0,0.0,1.5792721842392319,88.92198581560284,2.3658078953144495,91.61702127659575,0.5933809076590506,98.36879432624114,0.014458471623484744,57.37628384687208,2331.2810350728596,96.47482014388488,52.1818294118,48.99919935948759,7.95461721311,84.62770216172937, Denver County,0.6439806539999999,97.24349157733538,0.552413137053613,94.95026778882938,0.14012738853503184,60.220525869380836,22.799999999999997,91.09362054681027,3850.0,17.3,91.8942731277533,7.2,83.17474048442907,57.9,86.95476575121162,30.871413390010627,61.81965881397238,8.2,18.225806451612904,2.1,29.677419354838708,6.39,40.40574809805579,0,71.05005317192426,94.71153846153845,84.4590962062533,97.83827061649319,79.19293076559292,87.98387096774194,29.436324634835803,15.0,79.98941519481029,97.67814251401121,54.31462770021436,63.70967741935484,54.69950915221446,91.12903225806451
"Census Tract 6, Denver County, Colorado",08,08031000600,0.1932681704260652,73.86363636363636,0.0,0.0,1.152066401517857,82.02836879432624,1.5146000045855295,83.84397163120568,0.23039737767731158,89.46099290780141,0.05805700732347906,73.87177093059447,3013.2348402616503,98.37410071942446,52.3806091503,55.084067253803035,7.70405054645,77.42193755004003, Denver County,0.7912817459999999,99.8468606431853,0.590948945730599,97.93420045906657,0.17777777777777778,78.96522476675149,12.599999999999994,76.01491300745651,3165.0,14.4,88.98678414096916,3.3,34.21280276816609,37.0,70.84006462035542,33.08056872037915,66.61251015434605,8.9,53.104838709677416,1.0,2.9838709677419355,7.47,59.04480135249366,0,67.17812343792735,92.2275641025641,85.73223332510388,99.59967974379504,69.27204990967412,78.87096774193549,38.377837009971,27.903225806451616,79.54753002937836,97.27782225780625,53.82494345982256,62.25806451612903,53.906903015179516,90.80645161290323
"Census Tract 8, Denver County, Colorado",08,08031000800,0.3313111545988258,89.20454545454545,0.0,0.0,3.05135677665,97.67375886524823,2.54939981004,92.87943262411348,0.436095031619,95.97163120567376,0.227749311588,89.23124805477747,3154.97401841,98.67625899280576,52.5576045752,60.448358686949554,7.6133931694,74.77982385908727, Denver County,0.6963461999999999,98.69831546707503,0.558173323953785,95.56235654169855,0.26136363636363635,96.01357082273113,41.5,99.5857497928749,1462.0,16.0,91.05726872246696,33.7,100.0,87.6,99.11147011308562,94.04924760601915,99.83753046303818,9.2,74.19354838709677,2.2,33.99193548387097,7.41,58.03043110735418,0,77.49343603405974,98.71794871794873,85.63302270952323,99.51961569255404,97.60093165236613,100.0,55.40530499277398,62.82258064516129,82.9198271510354,99.83987189751802,76.50311832257006,94.51612903225806,79.86778245401995,100.0
"Census Tract 9.02, Denver County, Colorado",08,08031000902,0.3902677651905252,93.01948051948052,0.0,0.0,1.3901116327234941,86.38297872340426,0.6982759041886166,69.36170212765957,0.28441218898668885,92.31205673758865,0.003014999353053592,40.86523498288204,1752.2085995600683,92.92086330935251,53.0811875817,72.05764611689351,7.30544071038,66.21297037630104, Denver County,0.525483484,93.49157733537518,0.51053769965478,90.58913542463657,0.1813031161473088,80.49194232400339,33.900000000000006,97.26594863297431,6276.0,13.8,87.88546255506607,3.2,32.30968858131488,81.3,98.1421647819063,54.92351816443595,92.93257514216084,8.0,10.0,1.8,18.991935483870968,5.84,29.120879120879124,0,63.6569088485025,88.22115384615384,83.05443851251175,95.6765412329864,81.50463033623762,89.91935483870968,19.370938201583364,3.790322580645161,76.58859529117534,94.87590072057645,50.43778426891049,53.46774193548387,48.63559177260138,84.43548387096774
"Census Tract 9.03, Denver County, Colorado",08,08031000903,0.4054030710172745,94.64285714285714,0.0,0.0,2.4198480735512087,95.60283687943263,1.4994053095547932,83.71631205673758,0.4242233484820427,95.77304964539007,7.853172281587181e-05,16.059757236227824,1414.923296822683,89.89928057553956,52.8954601307,67.89431545236188,7.41101092896,69.33546837469976, Denver County,0.608468198,96.01837672281776,0.530032661837544,92.50191277735271,0.23116883116883116,93.12977099236642,32.7,96.89312344656173,6654.0,17.0,91.71806167400881,2.2,15.397923875432525,75.1,96.0016155088853,58.926961226330036,95.36961819658814,7.6,1.8548387096774193,1.8,18.991935483870968,5.26,20.03381234150465,0,64.29913549344087,89.1826923076923,83.12987078055434,95.99679743795036,81.41835228230714,89.59677419354838,13.626862178351013,1.370967741935484,76.85295901818318,95.03602882305844,47.52260723032908,46.37096774193548,45.9827513372614,80.96774193548387
"Census Tract 11.01, Denver County, Colorado",08,08031001101,0.4579250457038392,97.07792207792207,0.0,0.0,1.5936262712720373,89.09219858156028,2.788641404959543,93.94326241134752,0.5640805209171755,98.05673758865248,0.035925513273113975,68.36290071584189,321.37699937522234,44.99280575539568,52.0712006536,45.476381104883906,7.93148961749,83.58686949559647, Denver County,0.730723493,99.3874425727412,0.570043795671245,96.55700076511094,0.10582010582010581,37.404580152671755,25.200000000000003,93.08202154101077,2652.0,10.8,82.6431718061674,1.9,11.634948096885815,63.8,90.30694668820679,36.719367588932805,72.70511779041429,8.4,27.379032258064516,1.6,13.508064516129032,6.82,47.4218089602705,0,74.4221702292207,96.7948717948718,74.00009993874565,83.50680544435548,64.6294643458928,73.62903225806451,29.436301911488016,14.919354838709678,74.14079003557066,92.87429943955165,47.03288312869041,44.59677419354839,43.90287002854247,78.62903225806451
